brand,model,yearOfConstruction,kilometer,price,dateOfPriceChange,automatic,range,power
BMW,320d,2018,85000,16500,2025-01-10,true,800,190
Audi,A4 2.0 TFSI,2020,45000,23000,2025-01-03,true,750,190
Mercedes,C200,2019,61000,21000,2024-12-20,false,700,184
Volkswagen,Golf GTI,2015,120000,14500,2024-11-15,false,650,230
Porsche,911 GT3 RS,2017,32000,185000,2024-12-01,false,350,520
Ferrari,LaFerrari,2021,7000,1250000,2024-12-29,true,350,963
BMW,M3 F80,2016,81000,43500,2024-12-10,true,550,431
Audi,RS5,2019,33000,67000,2024-12-27,true,600,450
Porsche,Cayman GTS,2018,54000,58000,2024-12-18,false,500,365
Skoda,Fabia,2016,102000,8000,2024-01-01,false,650,95
Mercedes,A180,2015,118000,12000,2024-12-05,true,650,122
Porsche,Tycan TurboGT,2024,12000,250000,2025-07-12,true,400,1000
Opel,Astra,2014,118000,8000,2024-10-25,true,700,140
Ford,Focus,2016,98000,9500,2024-11-15,false,720,125
VW,Golf VI,2011,211000,4100,2024-11-05,false,650,90
Skoda,Octavia,2013,168000,6000,2024-10-20,false,760,105